season,team,returning_minutes_share,returning_value_share,defensive_spine_continuity,attacking_core_continuity,goalkeeper_continuity,manager_continuity,roster_continuity_score,preseason_historical_prior_weight
2026,Angel City FC,62.09017903190157,64.61201894610026,61.985514926691394,62.16506572295248,100.0,50.0,65.29439225739449,0.45
2026,Bay FC,83.07137035743392,85.76248371492892,85.17179023508137,81.34802882577364,100.0,50.0,82.27260345380196,0.6
2026,Boston Legacy FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Chicago Stars FC,67.99752398638192,66.8208453516943,74.56108487710377,64.9155722326454,100.0,50.0,69.78018848866826,0.45
2026,Denver Summit FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Gotham FC,79.79909941115345,81.31503569647185,82.93696605864696,77.23121496504378,100.0,50.0,79.43215515276542,0.45
2026,Houston Dash,64.16219204042956,63.139967175000976,77.51106194690266,56.75343811394892,65.94017094017094,50.0,63.929669603326495,0.45
2026,Kansas City Current,69.63956293458209,71.40745286422313,98.07710171853228,52.06910405785456,92.6829268292683,50.0,72.93050044292254,0.45
2026,North Carolina Courage,65.88290252257863,65.97408188404813,60.94141211817727,70.20283087698817,0.0,50.0,57.41988613321104,0.3
2026,Orlando Pride,77.19807473270383,77.3570557320899,74.61479997236233,80.13182674199624,100.0,50.0,76.7040890228876,0.45
2026,Portland Thorns FC,84.49363665861485,85.30609445036225,91.02259670624282,78.68818961994279,100.0,50.0,83.19682307810572,0.6
2026,Racing Louisville FC,84.42540683919994,84.46623281098158,94.71603509786905,78.33628116620072,78.04878048780488,50.0,81.29009168458629,0.6
2026,San Diego Wave FC,62.62633741808893,61.68318104383584,63.18181818181818,62.1605064325097,7.317073170731708,50.0,55.63372717398251,0.3
2026,Seattle Reign FC,84.08482142857143,85.63542079903296,89.2564562690177,79.37140012799544,100.0,50.0,82.95991008148187,0.6
2026,TBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Utah Royals,69.36683006535948,74.8434052419002,80.67173057563832,60.252342654762785,100.0,50.0,72.64689418190491,0.45
2026,Washington Spirit,81.33180334923082,84.74275407086118,96.99903194578897,66.779637570895,100.0,50.0,81.81304807144238,0.6
